Gene	annotation	synonym
b2670	L-alanine exporter	alaE
b2671	protein YgaC	ygaC
b2672	DUF883 domain-containing protein YgaM	ygaM
b2673	glutaredoxin-like protein	nrdH
b2674	dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI	nrdI
b2675	ribonucleoside-diphosphate reductase 2 subunit alpha	nrdE
b2676	ribonucleoside-diphosphate reductase 2 subunit beta	nrdF
b2677	glycine betaine ABC transporter ATP binding subunit ProV	proV
b2678	glycine betaine ABC transporter membrane subunit ProW	proW
b2679	glycine betaine ABC transporter periplasmic binding protein ProX	proX
b2681	putative transporter YgaY%2C N-terminal fragment	ygaY
b2682	L-valine exporter subunit YgaZ	ygaZ
b2683	L-valine exporter subunit YgaH	ygaH
b2684	DNA-binding transcriptional repressor MprA	mprA
b2685	multidrug efflux pump membrane fusion protein EmrA	emrA
b2686	multidrug efflux pump membrane subunit EmrB	emrB
b2687	S-ribosylhomocysteine lyase	luxS
b2688	glutamate--cysteine ligase	gshA
b2689	DedA family protein YqaA	yqaA
b2690	fructose-1-phosphatase	yqaB
b2696	carbon storage regulator	csrA
b2697	alanine--tRNA ligase/DNA-binding transcriptional repressor	alaS
b2698	RecA inhibitor RecX	recX
b2699	DNA recombination/repair protein RecA	recA
b2700	NMN aminohydrolase	pncC
b2701	membrane-bound lytic murein transglycosylase B	mltB
b2702	sorbitol-specific PTS enzyme IIC2 component	srlA
b2703	sorbitol-specific PTS enzyme IIBC1 component	srlE
b2704	sorbitol-specific PTS enzyme IIA component	srlB
b2705	sorbitol-6-phosphate 2-dehydrogenase	srlD
b2706	DNA-binding transcriptional activator GutM	gutM
b2707	DNA-binding transcriptional repressor SrlR	srlR
b2708	D-arabinose 5-phosphate isomerase GutQ	gutQ
b2709	DNA-binding transcriptional dual regulator NorR	norR
b2710	anaerobic nitric oxide reductase flavorubredoxin	norV
b2711	NADH:flavorubredoxin reductase	norW
b2712	carbamoyltransferase HypF	hypF
b2713	putative electron transport protein HydN	hydN
b2714	DNA-binding transcriptional repressor AscG	ascG
b2715	beta-glucoside specific PTS enzyme IIBC component	ascF
b2716	6-phospho-beta-glucosidase AscB	ascB
b2717	hydrogenase 3 maturation protease	hycI
b2718	formate hydrogenlyase assembly protein	hycH
b2719	formate hydrogenlyase subunit HycG	hycG
b2720	formate hydrogenlyase subunit HycF	hycF
b2721	formate hydrogenlyase subunit HycE	hycE
b2722	formate hydrogenlyase subunit HycD	hycD
b2723	formate hydrogenlyase subunit HycC	hycC
b2724	formate hydrogenlyase subunit HycB	hycB
b2725	regulator of the transcriptional regulator FhlA	hycA
b2726	hydrogenase 3 nickel incorporation protein HypA	hypA
b2727	hydrogenase isoenzymes nickel incorporation protein HypB	hypB
b2728	hydrogenase 3 maturation protein HypC	hypC
b2729	Fe-(CN)2CO cofactor assembly scaffold protein HypD	hypD
b2730	hydrogenase maturation protein%2C carbamoyl dehydratase	hypE
b2731	DNA-binding transcriptional activator FhlA	fhlA
b2732	protein YgbA	ygbA
b2733	DNA mismatch repair protein MutS	mutS
b2734	phosphoprotein phosphatase 2	pphB
b2735	putative DeoR-type DNA-binding transcriptional regulator YgbI	ygbI
b2736	putative L-threonate dehydrogenase	ygbJ
b2737	putative 3-oxo-tetronate kinase YgbK	ygbK
b2738	putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL	ygbL
b2739	putative 2-oxo-tetronate isomerase YgbM	ygbM
b2740	putative transporter YgbN	ygbN
b2741	RNA polymerase%2C sigma S (sigma 38) factor	rpoS
b2742	murein hydrolase activator NlpD	nlpD
b2743	L-isoaspartate protein carboxylmethyltransferase type II	pcm
b2744	broad specificity 5'(3')-nucleotidase and polyphosphatase	umpG
b2745	tRNA pseudouridine(13) synthase	truD
b2746	2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase	ispF
b2747	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	ispD
b2748	cell division protein FtsB	ftsB
b2749	conserved inner membrane protein YgbE	ygbE
b2750	adenylyl-sulfate kinase	cysC
b2751	sulfate adenylyltransferase subunit 1	cysN
b2752	sulfate adenylyltransferase subunit 2	cysD
b2753	alkaline phosphatase isozyme conversion protein	iap
b2754	CRISPR-associated endoribonuclease Cas2	cas2
b2755	multifunctional nuclease Cas1	cas1
b2756	pre-CRISPR RNA endonuclease	casE
b2757	type I-E CRISPR system Cascade subunit CasD	casD
b2758	type I-E CRISPR system Cascade subunit CasC	casC
b2759	type I-E CRISPR system Cascade subunit CasB	casB
b2760	type I-E CRISPR system Cascade subunit CasA	casA
b2761	CRISPR-associated endonuclease/helicase Cas3	cas3
b2762	phosphoadenosine phosphosulfate reductase	cysH
b2763	sulfite reductase%2C hemoprotein subunit	cysI
b2764	sulfite reductase%2C flavoprotein subunit	cysJ
b2765	6-carboxy-5%2C6%2C7%2C8-tetrahydropterin synthase	queD
b2766	putative oxidoreductase with FAD/NAD(P)-binding domain	ygcN
b2767	putative 4Fe-4S cluster-containing protein	ygcO
b2768	putative anti-terminator regulatory protein	ygcP
b2769	putative flavoprotein	ygcQ
b2770	putative flavoprotein	ygcR
b2771	putative transporter YgcS	ygcS
b4463	putative FAD-containing dehydrogenase	ygcU
b2774	putative deoxygluconate dehydrogenase	ygcW
b2775	putative transport protein YqcE	yqcE
b2776	putative sugar kinase YgcE	ygcE
b2777	putative 7-carboxy-7-deazaguanine synthase QueE	queE
b4682	cell envelope stress response protein YqcG	yqcG
b2778	protein YgcG	ygcG
b2779	enolase	eno
b2780	CTP synthetase	pyrG
b2781	nucleoside triphosphate pyrophosphohydrolase	mazG
b2782	endoribonuclease toxin MazF	mazF
b2783	antitoxin of the MazF-MazE toxin-antitoxin system MazE	mazE
b2784	GDP/GTP pyrophosphokinase	relA
b2785	23S rRNA m(5)U1939 methyltransferase	rlmD
b2786	sensory histidine kinase BarA	barA
b2787	D-glucarate dehydratase	gudD
b2788	glucarate dehydratase-related protein	gudX
b2789	galactarate/glucarate/glycerate transporter GudP	gudP
b2790	putative flavodoxin YqcA	yqcA
b2791	tRNA pseudouridine(65) synthase	truC
b2792	DUF446 domain-containing protein YqcC	yqcC
b2793	SecY-interacting protein	syd
b2794	7-cyano-7-deazaguanine reductase	queF
b2795	nucleotide 5'-monophosphate nucleosidase	ppnN
b2796	serine:H(+) symporter SdaC	sdaC
b2797	L-serine deaminase II	sdaB
b2798	flap endonuclease	ygdG
b2799	L-1%2C2-propanediol oxidoreductase	fucO
b2800	L-fuculose-phosphate aldolase	fucA
b2801	L-fucose:H(+) symporter	fucP
b2802	L-fucose isomerase	fucI
b2803	L-fuculokinase	fucK
b2804	L-fucose mutarotase	fucU
b2805	DNA-binding transcriptional activator FucR	fucR
b2806	23S rRNA 2'-O-ribose C2498 methyltransferase	rlmM
b2807	conserved inner membrane protein YgdD	ygdD
b2808	DNA-binding transcriptional dual regulator GcvA	gcvA
b2809	DUF903 domain-containing lipoprotein YgdI	ygdI
b2810	cysteine sulfinate desulfinase	csdA
b2811	sulfur acceptor protein CsdE	csdE
b2812	tRNA threonylcarbamoyladenosine dehydratase	tcdA
b2813	membrane-bound lytic murein transglycosylase A	mltA
b2817	N-acetylmuramoyl-L-alanine amidase C	amiC
b2818	N-acetylglutamate synthase	argA
b2819	exodeoxyribonuclease V subunit RecD	recD
b2820	exodeoxyribonuclease V subunit RecB	recB
b2821	protease 3	ptrA
b2822	exodeoxyribonuclease V subunit RecC	recC
b2823	putative YgdA	ppdC
b2824	DUF2509 domain-containing protein YgdB	ygdB
b2825	conserved protein PpdB	ppdB
b2826	conserved protein PpdA	ppdA
b2827	thymidylate synthase	thyA
b2828	phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	lgt
b2829	phosphoenolpyruvate-protein phosphotransferase PtsP	ptsP
b2830	RNA pyrophosphohydrolase	rppH
b4610	hypothetical protein	ygdT
b2831	DNA mismatch repair protein MutH	mutH
b2832	UPF0053 inner membrane protein YgdQ	ygdQ
b2833	DUF903 domain-containing lipoprotein YgdR	ygdR
b2834	putative NADP(H)-dependent aldo-keto reductase Tas	tas
b2835	lysophospholipid transporter	lplT
b2836	acyltransferase	aas
b2837	DNA-binding transcriptional dual regulator GalR	galR
b2838	diaminopimelate decarboxylase	lysA
b2839	DNA-binding transcriptional dual regulator LysR	lysR
b2840	amino acid racemase	ygeA
b2841	arabinose:H(+) symporter	araE
b2842	putative 2-keto-3-deoxy-D-gluconate dehydrogenase	kduD
b2843	5-dehydro-4-deoxy-D-glucuronate isomerase	kduI
b2844	putative acyltransferase	yqeF
b2845	putative transporter YqeG	yqeG
b2846	putative LuxR family transcriptional regulator YqeH	yqeH
b2847	putative transcriptional regulator YqeI	yqeI
b2848	protein YqeJ	yqeJ
b4683	uncharacterized protein YqeL	yqeL
b2849	protein YqeK	yqeK
b2850	protein YgeF	ygeF
b2851	TPR repeat-containing putative chaperone YgeG	ygeG
b2852	putative transcriptional regulator YgeH	ygeH
b2853	protein YgeI	ygeI
b2854	transglycosylase domain-containing protein Pbl	pbl
b2855	putative DNA-binding transcriptional regulator YgeK	ygeK
b2856	protein YgeL	ygeL
b2858	putative type III secretion system protein	ygeN
b2859	putative uncharacterized protein YgeO	ygeO
b2860	IS2 insertion element protein InsB	insD-4
b2861	IS2 insertion element repressor InsA	insC-4
b2862	protein YgeP	ygeP
b2863	protein YgeQ	ygeQ
b2865	LysM domain-containing putative peptidase lipoprotein YgeR	ygeR
b2866	putative xanthine dehydrogenase molybdenum-binding subunit XdhA	xdhA
b2867	putative xanthine dehydrogenase FAD-binding subunit XdhB	xdhB
b2868	putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC	xdhC
b2869	putative sigma(54)-dependent transcriptional regulator YgeV	ygeV
b2870	putative carbamoyltransferase YgeW	ygeW
b2871	2%2C3-diaminopropionate ammonia-lyase	ygeX
b2872	putative peptidase YgeY	ygeY
b2873	phenylhydantoinase	hyuA
b2874	putative amino acid kinase YqeA	yqeA
b2875	XdhC-CoxI family protein YqeB	yqeB
b2876	uncharacterized protein YqeC	yqeC
b2877	molybdenum cofactor cytidylyltransferase	mocA
b2878	putative oxidoreductase%2C Fe-S subunit	ygfK
b2879	putative aminohydrolase	ssnA
b2880	putative oxidoreductase	ygfM
b2881	fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit	xdhD
b2882	xanthine:H(+) symporter XanQ	xanQ
b2883	guanine deaminase	guaD
b4464	guanine/hypoxanthine transporter GhxQ	ghxQ
b2886	putative oxidoreductase%2C 4Fe-4S ferredoxin-type subunit	ygfS
b2887	fused putative oxidoreductase%2C Fe-S subunit and nucleotide-binding subunit	ygfT
b2888	urate:H(+) symporter	uacT
b4684	uncharacterized protein YqfG	yqfG
b4753	protein YqfH	yqfH
b2889	isopentenyl-diphosphate Delta-isomerase	idi
b2890	lysine--tRNA ligase%2C constitutive	lysS
b2891	peptide chain release factor RF2	prfB
b2892	ssDNA-specific exonuclease RecJ	recJ
b2893	protein disulfide isomerase DsbC	dsbC
b2894	site-specific recombinase	xerD
b2895	flavodoxin 2	fldB
b2896	protein YgfX	ygfX
b2897	FAD assembly factor	sdhE
b2898	folate-binding protein	ygfZ
b2899	hemolysin-III family protein	yqfA
b2900	PUA-like domain-containing protein YqfB	yqfB
b2901	6-phospho-beta-glucosidase A	bglA
b2902	putative NAD(P)-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain	ygfF
b2903	glycine decarboxylase	gcvP
b2904	glycine cleavage system H protein	gcvH
b2905	aminomethyltransferase	gcvT
b4754	protein YqfI	yqfI
b2906	2-octaprenylphenol hydroxylase	ubiI
b2907	2-octaprenyl-6-methoxyphenol hydroxylase	ubiH
b2908	proline aminopeptidase P II	pepP
b2909	UPF0149 family protein YgfB	ygfB
b2910	cell division protein ZapA	zapA
b2912	putative 5-formyltetrahydrofolate cyclo-ligase	fau
b4665	toxic peptide IbsC	ibsC
b2913	phosphoglycerate dehydrogenase	serA
b2914	ribose-5-phosphate isomerase A	rpiA
b2915	conserved protein YqfE	yqfE
b2916	DNA-binding transcriptional dual regulator ArgP	argP
b2917	methylmalonyl-CoA mutase	scpA
b2918	methylmalonyl-CoA mutase-interacting GTPase YgfD	argK
b2919	methylmalonyl-CoA decarboxylase	scpB
b2920	propionyl-CoA:succinate CoA transferase	scpC
b2921	putative LysR-type DNA-binding transcriptional regulator YgfI	ygfI
b2922	uncharacterized protein YggE	yggE
b2923	L-arginine exporter	argO
b2924	small conductance mechanosensitive channel MscS	mscS
b2925	fructose-bisphosphate aldolase class II	fbaA
b2926	phosphoglycerate kinase	pgk
b2927	D-erythrose-4-phosphate dehydrogenase	epd
b2928	P-loop NTPase domain-containing protein YggC	yggC
b2929	fumarase E	fumE
b2930	fructose 1%2C6-bisphosphatase YggF	yggF
b4465	putative zinc-binding dehydrogenase YggP	yggP
b2933	mannitol-specific PTS enzyme IICB component CmtA	cmtA
b2934	mannitol-specific PTS enzyme IIA component CmtB	cmtB
b2935	transketolase 1	tktA
b2936	metalloprotease LoiP	loiP
b2937	agmatinase	speB
b2938	arginine decarboxylase%2C biosynthetic	speA
b2939	acid stress response protein YqgB	yqgB
b2940	protein YqgC	yqgC
b2941	DUF2684 domain-containing protein YqgD	yqgD
b2942	methionine adenosyltransferase	metK
b2943	galactose:H(+) symporter	galP
b2944	conserved protein YggI	yggI
b2945	DNA-specific endonuclease I	endA
b2946	16S rRNA m(3)U1498 methyltransferase	rsmE
b2947	glutathione synthetase	gshB
b2948	DUF179 domain-containing protein YqgE	yqgE
b2949	ribonuclease H-like domain containing nuclease	yqgF
b2950	Type II/IV secretion system family protein	yggR
b2951	PLP homeostasis protein	yggS
b2952	uncharacterized protein YggT	yggT
b2953	conserved protein YggU	yggU
b2954	dITP/XTP pyrophosphatase	rdgB
b2955	putative coproporphyrinogen-III oxidase-like protein YggW	yggW
b2956	DUF1202 domain-containing protein YggM	yggM
b2957	L-asparaginase 2	ansB
b2958	putative EcfF	yggN
b2959	protein YggL	yggL
b2960	tRNA m(7)G46 methyltransferase	trmI
b2961	adenine DNA glycosylase	mutY
b2962	putative Fe(2(+))-trafficking protein	yggX
b2963	membrane-bound lytic murein transglycosylase C	mltC
b2964	nucleoside:H(+) symporter NupG	nupG
b2965	ornithine decarboxylase%2C biosynthetic	speC
b2966	DUF554 domain-containing protein YqgA	yqgA
b2968	putative type II secretion system M-type protein	yghD
b2969	putative type II secretion system L-type protein	yghE
b2970	putative type II secretion system C-type protein	yghF
b2971	lipoprotein YghG	yghG
b2972	prepilin peptidase	pppA
b4466	putative lipoprotein YghJ	yghJ
b2975	glycolate/lactate:H(+) symporter GlcA	glcA
b2976	malate synthase G	glcB
b2977	putative heme-binding protein GlcG	glcG
b4467	glycolate dehydrogenase%2C putative iron-sulfur subunit	glcF
b4468	glycolate dehydrogenase%2C putative FAD-binding subunit	glcE
b2979	glycolate dehydrogenase%2C putative FAD-linked subunit	glcD
b2980	DNA-binding transcriptional dual regulator GlcC	glcC
b2981	putative DNA-binding transcriptional regulator YghO	yghO
b2982	IS5 transposase and trans-activator	insH-9
b2983	putative transport protein YghQ	yghQ
b2984	putative ATP-binding protein YghR	yghR
b2985	putative ATP-binding protein YghS	yghS
b2986	putative ATP-binding protein YghT	yghT
b2987	metal phosphate:H(+) symporter PitB	pitB
b2988	fused glutathionylspermidine amidase/glutathionylspermidine synthetase	gss
b2989	disulfide reductase/organic hydroperoxide reductase	yghU
b2990	hydrogenase 2 accessory protein	hybG
b2991	hydrogenase maturation protein HybF	hybF
b2992	hydrogenase 2-specific chaperone	hybE
b2993	putative hydrogenase 2 maturation protease	hybD
b2994	hydrogenase 2 large subunit	hybC
b2995	hydrogenase 2 membrane subunit	hybB
b2996	hydrogenase 2 iron-sulfur protein	hybA
b2997	hydrogenase 2 small subunit	hybO
b2998	DUF2623 domain-containing protein YghW	yghW
b4658	putative hydrolase fragment	yghX
b4755	protein YqhI	yqhI
b3001	L-glyceraldehyde 3-phosphate reductase	gpr
b3002	uncharacterized protein YqhA	yqhA
b3003	NADP(+)-dependent aldehyde reductase	yghA
b3005	Ton complex subunit ExbD	exbD
b3006	Ton complex subunit ExbB	exbB
b3008	cystathionine beta-lyase/L-cysteine desulfhydrase	metC
b3009	DedA family protein YghB	yghB
b3010	DNA-binding transcriptional activator YqhC	yqhC
b3011	NADPH-dependent aldehyde reductase YqhD	yqhD
b3012	methylglyoxal reductase DkgA	dkgA
b3013	DUF3828 domain-containing protein YqhG	yqhG
b3014	lipoprotein YqhH	yqhH
b4469	radical SAM superfamily protein YgiQ	ygiQ
b3017	cell division protein required during stress conditions	ftsP
b3018	1-acylglycerol-3-phosphate O-acyltransferase	plsC
b3019	DNA topoisomerase IV subunit A	parC
b3020	putative deoxycholate binding periplasmic protein	ygiS
b3021	antitoxin of the MqsRA toxin-antitoxin system/DNA-binding transcriptional repressor MqsA	mqsA
b3022	mRNA interferase/toxin of the MqsR-MqsA toxin-antitoxin system	mqsR
b3023	DNA-binding transcriptional repressor YgiV	ygiV
b3024	BOF family protein YgiW	ygiW
b3025	DNA-binding transcriptional activator QseB	qseB
b3026	sensory histidine kinase QseC	qseC
b3027	conserved inner membrane protein YgiZ	ygiZ
b3028	NADPH:quinone oxidoreductase MdaB	mdaB
b3029	putative quinol monooxygenase YgiN	ygiN
b3030	DNA topoisomerase IV subunit B	parE
b3031	esterase YqiA	yqiA
b3032	cAMP phosphodiesterase	cpdA
b3033	DUF1249 domain-containing protein YqiB	yqiB
b3034	ADP-sugar pyrophosphatase	nudF
b3035	outer membrane channel TolC	tolC
b3036	putative protein YgiA	ygiA
b3037	DUF1190 domain-containing protein YgiB	ygiB
b3038	putative enzyme with ATPase activity	ygiC
b3039	4%2C5-DOPA dioxygenase extradiol	ygiD
b3040	heavy metal divalent cation transporter ZupT	zupT
b4756	protein YqiD	yqiD
b3041	3%2C4-dihydroxy-2-butanone-4-phosphate synthase	ribB
b3042	ubiquinone biosynthesis accessory factor UbiK	ubiK
b3043	putative fimbrial protein YgiL	ygiL
b3046	putative outer membrane usher protein YqiG	yqiG
b3044	IS2 insertion element repressor InsA	insC-5
b3045	IS2 insertion element protein InsB	insD-5
b3047	putative fimbrial chaperone YqiH	yqiH
b3048	putative fimbrial protein YqiI	yqiI
b3049	surface composition regulator	glgS
b3050	putative inner membrane protein	yqiJ
b3051	protein YqiK	yqiK
b4664	putative toxic peptide IbsD	ibsD
b4666	toxic peptide IbsE	ibsE
b3052	fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	rfaE
b3053	fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase	glnE
b3054	inorganic triphosphatase	ygiF
b3055	putative signal transduction protein (SH3 domain)	ygiM
b3056	fused tRNA nucleotidyltransferase/2'%2C3'-cyclic phosphodiesterase/2' nucleotidase and phosphatase	cca
b3057	undecaprenyl pyrophosphate phosphatase	bacA
b3058	dihydroneopterin aldolase	folB
b3059	putative glycerol-3-phosphate acyltransferase	plsY
b3060	DNA-binding transcriptional activator Dan	ttdR
b3061	L(+)-tartrate dehydratase subunit alpha	ttdA
b3062	L(+)-tartrate dehydratase subunit beta	ttdB
b3063	L-tartrate:succinate antiporter	ttdT
b3064	N(6)-L-threonylcarbamoyladenine synthase%2C TsaD subunit	tsaD
b3065	30S ribosomal subunit protein S21	rpsU
b3066	DNA primase	dnaG
b3067	RNA polymerase%2C sigma 70 (sigma D) factor	rpoD
b3068	stationary phase mismatch/uracil DNA glycosylase	mug
b3070	NADPH-dependent ferric chelate reductase	nfeF
b3071	DNA-binding transcriptional repressor NfeR	nfeR
b3072	aerotaxis sensor receptor%2C flavoprotein	aer
b3073	putrescine aminotransferase	patA
b3074	putative tRNA-binding protein YgjH	ygjH
b3075	DNA-binding transcriptional repressor EbgR	ebgR
b3076	evolved beta-D-galactosidase subunit alpha	ebgA
b3077	DUF386 domain-containing evolved beta-D-galactosidase subunit beta	ebgC
b3078	putative transporter YgjI	ygjI
b3079	protein YgjJ	ygjJ
b3080	glycoside hydrolase	ygjK
